letra,duração,exibições
"[['As noites pilotam os sonhos de quem quer ter prazer', 'Mas a noite meu irmão nem sempre é boa pra você!', 'Suas baladas pela noite traduzem suas vontades mais extremas', 'Mas se tudo acontece é porque tem que acontecer', 'Porque a importância de ampliar as idéias foi deixada pra trás', 'Nem tive tempo de pensar nas falhas', 'Eu aprendi do pior jeito à revelia da estrada'], ['Poucos acertos, muitas noites de perigo', 'Pela história fui salvo, mas perdi grandes amigos', 'Na noite tudo se pode, horas abertas são', 'O cenário ideal pra quem vai na contramão'], ['Você diz que é mafioso e que é ladrão', 'Faz tudo errado e os outros pagam por você, meu irmão!', 'Você diz que é mafioso e que é ladrão', 'Faz tudo errado e os outros pagam por você, ladrão!'], ['Ele adorava uma arma', 'Todo mundo ele aloprava', 'Com seu jeito meio clepto de ser', 'Zé bonitão, todo função, rambo vilão', 'Herói da gang juvenil, pesadelo do Brasil'], ['Mas se tudo acontece é porque tem que acontecer', 'Porque a importância de ampliar as idéias foi deixada pra trás', 'Nem tive tempo de pensar nas falhas!', 'Eu aprendi do pior jeito à revelia na estrada'], ['Poucos acertos, muitas noites de perigo', 'Pela história fui salvo, mas perdi grandes amigos', 'Na noite tudo se pode horas abertas são', 'O cenário ideal pra quem vai na contra mão'], ['Você diz que é mafioso e que é ladrão', 'Faz tudo errado e os outros pagam por você, meu irmão!', 'Você diz que é mafioso e que é ladrão', 'Faz tudo errado e os outros pagam por você, ladrão!']]",192,69751
"[['Corra vagabundo olha a polícia aí!', 'Porque eu não quero ficar na cadeia', 'o dia inteiro a noite inteira', 'o dia passa na doideira também passa do ponto', 'Chegamos onde deveria ser', 'Vagabundo deitado, mão na cabeça, identidade', 'Não minta não porque, se não vai ser pior pra você!'], ['Corra vagabundo olha a polícia aí!', 'Corra vagabundo olha a polícia aí! yeah...'], ['Come on... Charlie Brown Junior!']]",216,62313
"[['Se perguntarem pra você', 'O que falar sobre si mesmo, o que dirá?', 'Dirá que sabe o que não sabe', 'Tudo aquilo que jurou nunca dizer, dizer porquê? pra que?', 'Se perguntarem pra você', 'Se é com a empregada ou com a patroa, o que dirá?\xa0\xa0\xa0', 'Se tu lucrou com a vida boa, o que dirá?', 'Se vai mandar, se vai levar, se vai trazer', 'Se perguntarem pra você', 'O que falar sobre si mesmo, o que dirá?', 'Dirá que sabe o que não sabe!', 'Tudo aquilo que jurou nunca dizer, porquê?', 'Você gosta de falar, falar, falar!', 'Então me diga sobre o que que você fala bem?', 'Se você gosta de falar, falar, falar!'], ['Se perguntarem pra você', 'Quem é que sabe na verdade o que dizer', 'Se já falou, se vai falar, se vai fazer', 'O que quer dizer: Perle, Pere, Pele, PC', 'Se perguntarem pra você', 'O que falar sobre si mesmo, o que dirá?', 'Dirá que sabe o que não sabe!', 'Tudo aquilo que jurou nunca dizer, porquê?', 'Certamente esconderá tudo que fez', 'Dirá que não mais responde por ninguém', 'Se perguntarem pra você', 'O que falar sobre si mesmo o que dirá?', 'Você gosta de falar, falar, falar!', 'Então me diga sobre o que que você fala bem?', 'Se você gosta de falar, falar, falar', 'Vocês vão poder falar', 'Vocês vão se divertir', 'Só que eu não vou estar', 'Por perto para ouvir você falar, falar, falar!']]",168,65319
"[['Eu não aguento mais', 'Chegar nesses lugares abarrotadosOlhar para toda aquela genteE ficar paralisadoEu não sou alienadomas eu vivo esse absurdoVejo vagabundo mal, pra lá do fim do mundoConfundido a mulheradaCome até mulher barbadaEu não sou civilizadoMas eu sei como chegarRachadura não querendoeu não vou incomodarPega as mulé marvada'], ['Hoje eu vou dar uma festa', 'Você vai ser meu convidado', 'Com mini ramp, com gente decente', 'Sem zé mané, sem pau no cú do lado', 'Hoje eu vou dar uma festa', 'Com muita erva, muita perva e muita cerva', 'Hoje eu vou dar uma festa'], ['Cai na noite, manda bala', 'Mete a cara, tudo fala', 'Terça, Quarta, Quinta-feira', 'Na doideira a noite inteira', 'Você perde a liberdade', 'Vira alvo da cidade', 'ah! uuh!'], ['Dívida que não é minha, quando eu nasci já existia', 'Eu passo o pano mas não esqueço não, não!', 'Toda hora a gente quer nem toda hora a gente pode', 'O tempo vai dizer quem tava certo'], ['Hoje eu vou dar uma festa', 'Só vai ter chegado', 'Com mini ramp, com gente decente', 'Sem frango da Malásia do meu lado', 'Hoje eu vou dar uma festa', 'Com muita erva, muita perva e muita cerva', 'Hoje eu vou dar uma festa'], ['Diferentes atrações, em diferentes direções', 'Diferentes promessas, diferentes opções', 'Só que parar pra pensar é começar a morrer', 'Eu tenho mais o que fazer...', 'A verdade é que a verdade não é pra todos não', 'Tem muita gente fazendo promessa com a corda no pescoço', 'Se a verdade é necessária mas te põe pra baixo \xa0', 'Pode falar mal que eu assino embaixo', 'Hoje eu vou dar feston', 'Com muita erva, muita bazon', 'Sou raça ruizon', 'Meu mano Tron, meu Mano Glaucon', 'Ibira boys, São Bernadon', 'Meus manos de Santos', 'Muita erva, muita perva, muita cerva, muita bazon', 'Festa, direito do cidadão, dever do Estado', '(TCHAROLLADRÃO)']]",173,50863
"[['Um lindo dia, céu azul e coisa e tal', 'Viajando no Eugênio na lagoa, na moral', 'Eu vou comendo a vontade, eu vou jogando carteado', 'Eu faço a boa no velho! Há! Coitado!', 'Tomo aulas de dança no salão', 'Eu me bronzeio no Sol de verão', 'Sei que sereia é sereia', 'E que piranha é piranha', 'Mas no fundo da rede a gente sempre se engana'], ['Escalas tropicais!', 'Belas e naturais!', 'Escalas tropicais!', 'Belas e naturais!'], ['Afunda nega afunda, nega faz assim com a bunda há!', 'Não tenho nada mas eu posso até me endividar', 'Ou põe na conta do Eugênio, um grande amigo que eu tenho', 'Mora aqui no navio, tava aqui você não viu?'], ['Me jogaram na lagoa todo mundo percebeu', 'Mas os caras do lagoa são tudo amigo meu', 'Ligo sempre a cobrar pra casa do Tadeu', 'Alô! Qualé Tadeu! Qualé Tadeu!', 'Hu ha! Hu ha! Hu ha! Hu ha! Hu ha!'], ['Escalas tropicais!', 'Belas e naturais!', 'Escalas tropicais!', 'Belas e naturais!'], ['Huha!'], ['Fala, Chorão'], ['Huha! Come on!'], ['Escalas tropicais!', 'Belas e naturais!', 'Escalas tropicais!', 'Belas e naturais!', 'Hu ha! Hu ha!'], ['Escalas tropicais!', 'Belas e naturais!', 'Escalas tropicais!', 'Belas e naturais!!']]",129,34427
"[['Muita gente riu de mim', 'Quando eu disse que podia fazer o que quisesse da minha vida', 'Foram muitos anos de vivência', 'Muitos baldes de água fria na cabeça', 'Muitos goles a mais, alguns passos para trás'], ['Só flagrando a cena', 'Eu aprendi o bastante pra poder sorrir', 'Pois ainda estou aqui, tentando conquistar o meu espaço', 'Com muito pouca condição', 'Mas a cabeça não abaixo', 'Sou Charlie Brown, cuzão!', '(Tcharolladrão)'], ['E o que tenho de bom é do melhor', 'Sou o que sou, sei porque sou', 'Aonde estou e o que quero', 'Sei com quem devo estar', 'E o que da vida espero', 'Tribo que não tem medo do perigo skatista', 'Vagabundo, batizado, favelado', 'Muitas vezes culpado sem ser julgado', 'Passei por isso, da vida sei o que espero, yeah'], ['Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente'], ['Quer falar, já falou, vou falar, já falei', 'Quer falar com o pai veio, fala agora', 'Pai veio quer ir embora!'], ['Muita gente riu de mim', 'Quando eu disse que podia fazer o que quisesse da minha vida', 'Foram muitos anos de vivência', 'Muitos baldes de água fria na cabeça', 'Muitos goles a mais, alguns passos para trás'], ['Só flagrando a cena', 'Eu aprendi o bastante pra poder sorrir', 'Pois ainda estou aqui, tentando conquistar o meu espaço', 'Com muito pouca condição', 'Mas a cabeça não abaixo', 'Sou Charlie Brown, meu irmão', '(Tcharolladrão)'], ['E o que tenho de bom é do melhor', 'Sou o que sou, sei porque sou', 'Aonde estou e o que quero', 'Sei com quem devo estar', 'E o que da vida espero', 'Tribo que não tem medo do perigo skatista', 'Vagabundo, batizado, favelado', 'Muitas vezes culpado sem ser julgado', 'Passei por isso, da vida sei o que espero, yeah'], ['Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente'], ['Ah yeah'], ['Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente', 'Deixe estar, que eu, que eu sigo em frente']]",271,330771
"[['Dez horas da manhã, a campainha tocou', 'O oficial de justiça logo ele avistou'], ['Eu tenho aqui uma intimação', 'O sr. Saia daqui!', 'Mas antes eu vou confiscar o que tiver aqui', 'Eu quero essa TV, eu quero o som e isso aqui', 'E o que mais você tiver', 'Hoje vou até dormir aqui', 'Tu não me enrola não! Tu faz orgia aqui!', 'Tenho até pena de você', 'Tu tem três horas pra sair!'], ['Eu tô aqui pra te mostrar', 'O dia d, o dia d, o dia d, o dia d', 'Eu confisco! Eu confisco!', 'Esse é o meu trabalho, eu confisco!', 'Eu confisco! Eu confisco!', 'Eu sou da lei seu trouxa, eu confisco!'], ['Eu vou pra onde? Pra onde eu devo ir?', 'Monumentos com um cheiro que ninguém aguenta', 'Multidão de solitários que a cidade alimenta'], ['Dez horas da manhã, a campainha tocou', 'O oficial de justiça logo ele avistou'], ['Eu tenho aqui uma intimação', 'O sr. Saia daqui!', 'Mas antes eu vou confiscar o que tiver aqui', 'Eu quero essa TV, eu quero o som e isso aqui', 'E o que mais você tiver', 'Hoje vou até dormir aqui', 'Tu não me enrola não! Tu faz orgia aqui!', 'Tô até com pena de você', 'Tu tem três horas pra sair!'], ['Eu confisco! Eu confisco!', 'Esse é o meu trabalho, eu confisco!', 'Eu confisco! Eu confisco!', 'Eu sou da lei seu trouxa, eu confisco!'], ['Eu tô aqui pra te mostrar', 'O dia d, o dia d, o dia d, o dia d!', 'Eu confisco! Eu confisco!', 'Esse é o meu trabalho, eu confisco!', 'Eu confisco! Eu confisco!', 'Eu sou da lei, seu trouxa, eu confisco!'], ['Eu vou pra onde? Pra onde eu devo ir?', 'Monumentos com um cheiro que ninguém aguenta', 'Multidão de solitários que a cidade alimenta'], ['Eu vou pra onde? Pra onde eu devo ir?', 'Monumentos com um cheiro que ninguém aguenta', 'Multidão de solitários que a cidade alimenta'], ['Eu tô aqui pra te mostrar', 'O dia d, o dia d, o dia d, o dia d!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!', 'Eu confisco! Eu confisco!!'], ['Já era']]",178,131649
"[['Tirou a roupa, entrou no mar', 'Pensei: Meu Deus', 'Que bom que fosse', 'Tu me apresenta essa mulher', 'Meu irmão, te dava até um doce', 'Sem roupa ela é demais', 'Também por isso', 'Eu creio em Deus', 'Meu bom, meu Deus', 'Meu bom, me traz'], ['Ainda bem que eu trouxe', 'Até meu guarda-sol', 'Tenho toda tarde', 'Tenho a vida inteira'], ['Já se foi aquele tempo da ladeira, irmão', 'Já que se foi aquele tempo da ladeira, irmão'], ['Meu escritório é na praia', 'Eu tô sempre na área', 'Mas eu não sou', 'Da tua láia, não'], ['Meu escritório é na praia', 'Eu tô sempre na área', 'Mas eu não sou', 'Daquela láia, não'], ['Então', 'Deixe viver, deixe ficar', 'Deixe estar como está', 'Deixe viver, deixe ficar', 'Deixe estar como está'], ['Meu Deus, me dê um motivo', 'Pois eu pago tanto mico', 'Ela me ignora', 'Na esperança eu ainda fico', 'Eu tô fritando aqui', 'Vou entregar, não aguento mais', 'Mas se eu não falar hoje', 'Talvez nunca a veja mais'], ['O dia passa', 'Horas se estendem', 'As pessoas ao redor', 'Nunca me entendem'], ['O dia passa', 'Horas se estendem', 'As pessoas ao redor', 'Nunca me entendem'], ['Então', 'Deixe viver, deixe ficar', 'Deixe estar como está', 'Deixe viver, deixe ficar', 'Deixe estar como está'], ['Deixe viver, deixe ficar', 'Deixe estar como está', 'Deixe viver, deixe ficar', 'Deixe estar como está'], ['O dia passa', 'Horas se estendem', 'As pessoas ao redor', 'Nunca me entendem'], ['O dia passa', 'Horas se estendem', 'As pessoas ao redor', 'Nunca me entendem'], ['Tirou a roupa, entrou no mar', 'Pensei: Meu Deus', 'Que bom que fosse', 'Tu me apresenta essa mulher', 'Meu irmão, te dava até um doce', 'Sem roupa ela é demais', 'Também por isso', 'Eu creio em Deus', 'Meu bom, meu Deus', 'Meu bom, me traz'], ['Ainda bem que eu trouxe', 'Até meu guarda-sol', 'Tenho toda tarde', 'Tenho a vida inteira'], ['Já se foi aquele tempo da ladeira, irmão', 'Já que se foi aquele tempo da ladeira, irmão'], ['Meu escritório é na praia', 'Eu tô sempre na área', 'Mas eu não sou', 'Da tua láia, não'], ['Meu escritório é na praia', 'Eu tô sempre na área', 'Mas eu não sou', 'Daquela láia, não'], ['Então', 'Deixe viver, deixe ficar', 'Deixe estar como está', 'Deixe viver, deixe ficar', 'Deixe estar como está'], ['Deixe viver, deixe ficar', 'Deixe estar como está', 'Deixe viver, deixe ficar', 'Deixe estar como está']]",262,1820616
"[['1, 2, 3, 4!', 'Antigamente eu via as coisas de outro modo', 'Criei problemas pra você e pra mim', 'E por falar em problemas', 'Espero que você esteja cuidando dos seus,', 'Se você gosta de falar sobre problemas', 'Eu tenho um nome pra você,', 'Zé Mané!'], ['Resolve o meu problema aí!', 'Todo mundo têm problemas, se você falar de mim', 'Eu digo o mesmo de você', 'Se quiser cuidar dos meu problema,', 'Então resolve ele prá mim!'], ['Alguém esteve aqui e abalou a minha paz,', 'Mas de qualquer modo estarei bem'], ['Antigamente eu via as coisas de outro modo', 'Criei problemas pra você e pra mim', 'E por falar em problemas', 'Espero que você esteja cuidando dos seus, (que eu tô', 'Cuidando do meu)', 'Se você gosta de falar sobre problemas eu tenho um', 'Nome pra você,', 'Zé Mané!'], ['Zipiridum o cara vai bombar,', 'Apenas um milhão o cara', 'vai tirar!', 'Então resolve o meu problema aí!...']]",179,120657
"[['Tive pensando em me mudar', 'Sem te deixar pra trás, yeah', 'Resolvi pensar em nós, yeah', 'Vou te levar daqui', 'Vou te levar yeah', 'Te levar daqui, vou', 'Vou te levar yeah', 'Te levar daqui'], ['Aquele tempo ficou pra trás', 'Eu nunca fui feliz ali', 'Resolvi pensar em nós', 'Vou te levar daqui', 'Vou te levar, yeah', 'Te levar daqui', 'Vou te levar, yeah', 'Te levar daqui'], ['Eu tenho história de luta e glória', 'Mas só deixa eu te contar o que eu passei por lá', 'Mas eu ainda fico impressionado com as coisas da cidade', 'Aqueles mano se foram chegaram antes se foram', 'Pra onde foram ninguém sabe ninguém faz', 'Anos e anos da correria faz leva e traz', 'Anos e anos da correria faz leva e traz, yeah'], ['Vou te levar, yeah', 'Te levar daqui', 'Vou te levar, yeah', 'Te levar daqui'], ['Resolvi pensar em nós', 'Vou te levar daqui', 'Vou te levar, vou', 'Te levar daqui', 'Vou te levar, yeah', 'Te levar daqui']]",210,535235
