letra,duração,exibições 
[],117,56341
"[['Pensei que você fosse mais um descendente,', 'Que você fosse mais inteligente,', 'Representasse melhor o lugar! woow!', 'Viver assim já te deixou pra trás', 'Ser um daqui é ser bem diferente! wwoo!'], ['Quem corre atrás, corre atrás', 'É que faz a coisa acontecer...', 'Quem corre atrás', 'Não deixa estar 1, 2', 'Deixar estar 1, 2'], ['Pra revolucionar', 'Pra lutar, pra conquistar', 'Por quem ficou pra trás', 'Nunca deixar o mau tempo', 'Te levar pra trás'], ['Pensei que você fosse mais um descendente,', 'Que você fosse mais inteligente,', 'Representasse melhor o lugar! woow!', 'Viver assim já te deixou pra trás', 'Quem é você pra ser tão diferente', 'Ser um daqui é ser bem diferente'], ['Quem corre atrás, corre atrás', 'É que faz a coisa acontecer...', 'Quem corre atrás', 'Não deixa estar 1, 2', 'Deixar estar 1, 2', 'Deixa estar 1, 2', 'Deixa estar!'], ['wwwooo...'], ['A chuva nunca adentra a sua sala', 'Se as cores estiverem dentro de você', 'O sol já não queima o seu rosto', 'E só é quem é de miliano é que vai entender', 'A chuva não adentra a sua sala', 'Se as cores estiverem dentro de você', 'O sol já não queima o seu rosto', 'E só é quem é de miliano é que vai entender'], ['Estar perto do mar', 'Rodar por aí', 'Ver você também se divertir', 'Estar perto do mar', 'Rodar por aí...', 'Estar perto do mar', 'Rodar por aí', 'Ver você também se divertir', 'Estar perto do mar', 'Rodar por aí...'], ['A chuva não adentra a sua sala', 'Se as cores estiverem dentro de você', 'O sol está disposto ao seu rosto', 'E só é quem é de miliano é que vai entender'], ['Estar perto do mar', 'Rodar por aí', 'Ver você também se divertir', 'Estar perto do mar', 'Rodar por aí...']]",216,146886
"[['O dom é ver o que se faz, mas', 'Ela gosta de transar no escuro', 'No escuro a coisa ferve mais, mas', 'O dom é ver o que se faz', 'Passou por mim', 'Fez que não me viu, mas', 'Deixou pra mim', 'Um pouco mais daquele andar', 'Eu sei, siga à vontade então', 'Eu fico à vontade então', 'Me deixa à vontade então', 'Que eu te deixo à vontade então'], ['Passou por mim', 'Fez que não me viu,mas', 'Deixou pra mim', 'Um pouco mais daquele andar', 'Eu sei,siga à vontade então', 'Eu fico à vontade então', 'Me deixa à vontade então', 'Que eu te deixo a vontade então']]",181,198418
[],117,10064
"[['Eu queria ter voltado no tempo', 'Não deixar faltar', 'O que te faz mais falta', 'Hoje eu tenho tudo que eu podia querer', 'Mas dinheiro não é tudo tenho muito a fazer', 'Muito a fazer'], ['Se você quer rodar', 'Eu vou guiar', 'Vamos fazer o melhor que há', 'Se você quer rodar', 'Eu vou guiar', 'Coisa no mundo melhor não há'], ['O melhor da vida é aprender bem mais do que já se sabe...'], ['Tento me lembrar de um sonho', 'Que tive com você', 'Nos meus braços você se foi', 'Nos seus braços eu quero acordar', 'E das coisas que você não fez', 'Porque não quis me incentivar a dar a volta', 'Mas verdade é que a distância entre nós me fez tanta falta!'], ['Se você quer rodar', 'Eu vou guiar', 'Vamos fazer o melhor que há', 'Se você quer rodar', 'Eu vou guiar', 'Coisa no mundo melhor não há', 'Se você quer rodar', 'Eu vou guiar', 'Vamos fazer o melhor que há'], ['O dom que deus te deu entrou pra história do tempo...', 'Charlie brown jr , ano 2000 , disco 3'], ['Vai com deus meu pai , vai ....'], ['Se você quer rodar', 'Eu vou guiar', 'Vamos fazer o melhor que há', 'Se você quer rodar', 'Eu vou guiar', 'Coisa no mundo melhor não há!']]",183,110746
"[['Maloqueiragem impera', 'Não sobra nem a ponta', 'Santos, Charlie Brown!'], ['Num inferno quadrado, embaçado e trancado', 'Cheio de maus olhares querendo comer, o soco, aqui', 'Fumo um negócio e enlouqueço', 'E tropeço direto, pro meu ensaio tocar', 'Fazer minha banda rolar!', 'Num pago, não devo dinheiro, tiro certeiro', 'É a base da vida pra poder morar', 'Para as pessoas é só o que importa', 'Se enrola, se vira e se fode', 'Eu não devo te facilitar!'], ['Pensei que fosse fácil de entender', 'Pensei que fosse fácil de esquecer', 'Não deixar de ser quem você é', 'Não vá deixar se levar', 'Pense bem no que for fazer', 'Eu nunca paguei por sonhar'], ['Charlie!', 'Brown!'], ['Sangue bom', 'Nosso sócio diz que não vai ter pra já', 'Pra mais vai descolar', 'Pra mais tarde fazermos a cabeça!'], ['Sangue bom', 'Nosso sócio diz que não vai ter pra já', 'Pra mais vai descolar', 'Pra mais tarde fazermos a cabeça!'], ['1, 2', 'Rap consciente é bom pesado, é pé no chão', 'A cor da pele é branca, mas o som é de revolução', 'A vida quis assim, só assim me desculpe a minha então', 'Mano, o som que eu mais me identifico é com som de ladrão', 'Champignon, como é que fica então'], ['Charlie!', 'Brown!'], ['Pensei que fosse fácil de entender', 'Pensei que fosse fácil de esquecer', 'Não deixar de ser quem você é', 'Não vá deixar se levar', 'Pense bem no que for fazer', 'Eu nunca paguei por sonhar'], ['Anderson ""Franja"" entrou pra família', 'A mesma família da grande família, eu digo', 'Anderson ""Franja"" entrou pra família', 'A mesma família da grande família', 'Como é muito humilde, muro de tijolo', 'Nem acabamento tem, mas ele tem o dom de Deus', 'O dom mais puro que tem, eu digo: Amém!', 'Se Deus me trouxe aqui foi pra me mostrar', 'Me lembrar e definitivamente me provar', 'Que não importa o lugar, e sim como você se sente', 'Bote a cabeça pra pensar, abra a sua mente', 'Charlie Brown Jr', 'Disco 3', 'Ano 2000', 'Outra vez!']]",173,107648
"[['1,2... 1,2... Grau', 'Sangue bom nosso sócio diz que não vai ter pra já', 'Pra mais vai descolar', 'Pra mais tarde fazemos a cabeça', 'A bola do mundo régua e compasso', 'O mundo caminha passo a passo se você vacila caiu no laço', 'Ficou para trás mano, aquele abraço', 'Fumando um beck na ilha queimando, a bomba ô', 'Tô müito louco, maneiro, alucinado só', 'Sangue bom vai, san-sangue bom vai,', 'Só sangue bom, só 2000 graus, só 2000 graus,', 'Família charlie brown', 'Sangue bom, nosso sócio diz que não vai', 'Ter pra já', 'Pra mais vai descolar', 'Pra mais tarde fazermos a cabeça!', 'Norte, sul, leste, oeste', 'Vírus do rap, é a peste', 'Cada vez mais a banca cresce', 'Eu sou discípulo da espécie...', 'Traaa... A treta só!']]",229,46194
"[['Fala ai Badú'], ['Nos meus braços você se foi', 'Nos seus braços eu quero acordarEssa é uma homenagem a todos os paisPai, essa é mais uma homenagem que eu faço a vocêVocê foi meu grande mestre, meu grande heróiSinto sua falta,um dia a gente se vê'], ['Era um ritmo, que era do Brasil Central, era uma congada', 'Mano batista, é quase igual o rítmo dessas nossas músicas aqui', 'Era uma batida mais ou menos assim, não sei se é 2X4 ou 3X4'], ['Tum Tum'], ['Então os indígenas, os  indígenas não, os africanos com esse ritmo ai:', 'Ohh Ema', 'Ohh Ema', 'Era a sombra da sua pena oh lêlêlê  '], ['Ema', 'Ohh Ema', 'Era a sombra da sua pena oh lêlêlê'], ['São músicas antigas, que são com pessoas de idade, que ficam com aqueles chocalhos na cabeça', 'então todos abraçados, formam aquela roda ne? Então o que que acontece é o seguinte:', 'Ficam com lágrimas nos olhos, por que você não sabe se no outro ano, que vai ter aquela mesma festa, se você vai ta ali.', 'Hã', 'Hã', 'Hã']]",181,105651
"[['Quase todo aquele luxo te deixou confuso', 'E aquela vida fútil comprou mais um inútil'], ['Foi você quem colocou eles lá, mas', 'Eles não estão fazendo nada por vocês', 'Enquanto o povo vai vivendo de migalhas', 'Eles inventam outro imposto pra vocês'], ['Aquela creche que deixaram de ajudar tá por um fio', 'E a ganância está matando a geração 2000', 'E a sua tolerância está maior do que nunca agora'], ['Dormem', 'Sossegados caras do Senado', 'Dormem', 'Sossegados que fizeram este estrago', 'Dormem', 'Sossegados caras do Senado', 'Dormem', 'Sossegados que pintaram este quadro'], ['Só você vai saber lidar com o mal que há em você', 'E o bem que há em você', 'Toda a miséria te gera insegurança', 'Imposta a você', 'Que oprime você'], ['Deixe de ser covarde, homem', 'Deixe de ser covarde', 'Deixe de ser covarde, homem', 'Seja homem de verdade'], ['Você devia dar uma importância maior', 'Pras coisas corriqueiras da vida', 'Você devia dar uma importância maior', 'Pro que realmente tem valor na sua vida'], ['Dormem (dormem) bem despreocupados caras do Senado', 'Dormem (dormem) sossegados que fizeram este estrago'], ['Mais vale a liberdade e o bem que ela te faz', 'Liberdade é tudo aquilo', 'Liberdade é muito mais!'], ['Vem', 'Vem, me traz', 'Mais paz', 'Quero, vem, vem', 'Vem, me traz mais', 'Paz', 'Eu quero mais', 'Paz', 'Vem, me traz mais', 'Paz']]",265,212266
"[['Hoje eu acordei para sorrir mostrar os dentes', 'Hoje eu acordei para matar o presidente'], ['Hoje tem festa, ela vai tá eu vou', 'Vai ser perfeito', 'Eu vou fazer o que você jamais teria feito'], ['Hoje eu acordei feliz', 'Sonhei com ela a noite inteira', 'Eu sempre quis', 'Hoje eu acordei feliz', 'Sonhei com ela a noite inteira', 'Eu sempre quis', 'Só não quero acordar!'], ['Chegou ficou do lado não parou de olhar pra mim', 'Eu sinto lhe dizer mas sou o cara que ela é a fim', 'O sexo é bom o amor, melhor, os dois então perfeito', 'Eu vou fazer o que você jamais teria feito'], ['Hoje eu acordei feliz!', 'Fiquei com ela a noite inteira', 'Eu sempre quis!', 'Hoje eu acordei feliz!', 'Fiquei com ela a noite inteira', 'Eu sempre quis', 'Só não quero acordar!'], ['Hoje eu acordei feliz', 'Fiquei com ela a noite inteira', 'Eu sempre quis'], ['Hoje eu acordei feliz', 'Fiquei com ela a noite inteira', 'Eu sempre quis', 'Só não quero acordar!'], ['Chegou ficou do lado', 'Já sentiu um pouco daquele efeito', 'Eu vou fazer o que você jamais teria feito', 'Não quero acordar... Não!', 'Não quero acordar... Não!', 'Não quero acordar... Não!']]",132,917548
"[['Eu nunca duvidei não fiz aposta', 'Eu me esforcei pra ser do jeito que ela gosta', 'Quem disse que elas precisam de nós?', 'Quem disse que elas precisam de nós?', 'Me lembro dela ainda uma menina', 'Subiu pra mente, ela virou minha sina', 'Quem disse que o tempo importa pra nós?', 'Fiquei feliz quando ficamos a sós'], ['Ela me disse que o segredo do sucesso está no sino dourado', 'Que o segredo do sucesso está no sino dourado', 'Quem disse que elas precisam de nós?', 'Fiquei feliz quando ficamos a sós!'], ['Entendo que as garotas de hoje em dia', 'Estão ligeiras e tem boas amigas', 'Quem disse que elas nunca brincam a sós?', 'Quem disse que elas precisam de nós?', 'Ela me disse que o segredo do sucesso está no sino dourado', 'Que o segredo do sucesso está no sino dourado', 'Quem disse que elas precisam de nós?', 'Fiquei feliz quando ficamos a sós'], ['Eu vou fazer um colar de pérolas que eu roubei, dar flores que eu colhi', 'Eu vou fazer um colar de pérolas que eu roubei, dar flores que eu colhi', 'Eu vou fazer um colar de pérolas que eu roubei, dar flores que eu colhi', 'Eu vou fazer um colar de pérolas que eu roubei, dar flores que eu colhi'], ['Ela me disse que o segredo do sucesso está no sino dourado', 'Que o segredo do sucesso está no sino dourado', 'Quem disse que elas precisam de nós?', 'Fiquei feliz quando ficamos a sós'], ['Eu me esforcei pra te fazer sorrir e não é fácil resistir']]",178,258920
"[['Eu não vou mudar mas minha vida agora é outra', 'Eu vou tentar entender o que sai da tua boca', 'É só por isso, vivo por isso, vivo por isso e sem isso eu não vivo', 'Se você quiser entender, então me deixa te explicar', 'Rua de concreto, sangue nobre, água do mar', 'Role no meu impala, pode acreditar', 'Cheiro na mão, brisa no olhar'], ['Tem pra mandar trazer, tem, tem pra mandar buscar, vai!', 'Tem pra mostrar poder, tem, tem pra te alucinar', 'Eu não fico dividido, eu sei porque tomo partido', 'O sistema é falido e já aconteceu comigo'], ['Eu não vou mudar mas minha vida agora é outra', 'Eu vou tentar entender o que sai da tua boca', 'É só por isso, vivo por isso, vivo por isso e sem isso eu não vivo', 'Se você quiser entender, então me deixa te explicar', 'Rua de concreto, sangue nobre, água do mar', 'Role no meu impala, pode acreditar', 'Cheiro na mão, brisa no olhar'], ['O que não pode é essa situação', 'Do que eu não gosto que eu me livro e digo não'], ['Tem pra mandar trazer, tem, tem pra mandar buscar vai!', 'Tem pra mostrar poder, tem, tem pra te alucinar', 'Eu não fico dividido, eu sei porque tomo partido', 'O sistema é falido! Já aconteceu comigo!'], ['O que não pode é essa situação', 'Do que eu não gosto que eu me livro e digo não', 'Não']]",171,330873
"[['Que bom viver, como é bom sonhar', 'E o que ficou pra trás passou e eu não me importei', 'Foi até melhor, tive que pensar em algo novo que fizesse sentido'], ['Ainda vejo o mundo com os olhos de criança', 'Que só quer brincar e não tanta responsa', 'Mas a vida cobra sério e realmente não dá pra fugir'], ['Livre pra poder sorrir, sim', 'Livre pra poder buscar o meu lugar ao Sol'], ['Livre pra poder sorrir, sim', 'Livre pra poder buscar o meu lugar ao Sol'], ['Um dia eu espero te reencontrar numa bem melhor', 'Cada um tem seu caminho, eu sei foi até melhor', 'Irmãos do mesmo Cristo, eu quero e não desisto'], ['Caro pai, como é bom ter por que se orgulhar', 'A vida pode passar, não estou sozinho', 'Eu sei se eu tiver fé eu volto até a sonhar'], ['Livre pra poder sorrir, sim', 'Livre pra poder buscar o meu lugar ao Sol'], ['Livre pra poder sorrir, sim', 'Livre pra poder buscar o meu lugar ao Sol'], ['O amor é assim, é a paz de Deus em sua casa', 'O amor é assim, é a paz de Deus que nunca acaba'], ['O amor é assim, é a paz de Deus em sua casa', 'O amor é assim, é a paz de Deus, nunca acaba'], ['Nossas vidas, nossos sonhos têm o mesmo valor', 'Nossas vidas, nossos sonhos têm o mesmo valor', 'Eu vou com você pra onde você for'], ['Eu descobri que é azul a cor da parede da casa de Deus', 'E não há mais ninguém como você e eu']]",198,2862771
"[['De fato é bom lembrar', 'Mas é melhor viver', 'Sinto muito', 'Não posso esperar você'], ['Procure algo melhor', 'E então vai descobrir', 'O mundo inexplorado em você'], ['Há quanto tempo estou sonhando acordado', 'Quanto tempo perdido', 'Eu perco tempo demais', 'Não me pergunte o que é que eu quero da vida', 'O que é que eu quero da vida', 'Tenho sede demais'], ['Não venha me rotular', 'Você nem é ninguém', 'Não posso fazer nada por você'], ['Não venha me rotular', 'Você nem é ninguém', 'Descubra o que há de errado com você'], ['Então daqui pra frente', 'Vai ser muito diferente', 'E então, muito pra frente', 'Vai ser bem diferente'], ['Ôôhôhôh... hu']]",98,200408
"[['Se uma mansão e um carro gringo é o que te atrai', 'Se um videoclipe do ""Twister"" te distrai'], ['Tão bom fingir que a vida é assim', 'Só lazer, paz e amor, pode crer', 'Tão bom fingir que a vida é assim', 'Só lazer, paz e amor, pode crer'], ['Na vida existe muito pouca coisa que não se pode comprar', 'O que o dinheiro não compra você tem que conquistar', 'Eu tenho o dom, tenho fé', 'E tudo o que o sistema quer', 'Mas, só quem é, é que é'], ['Se pudessem comprar minha confiança', 'Com um tapinha nas costas já teriam comprado', 'Se pudessem comprar minha confiança', 'Com xaveco barato já teriam comprado'], ['Rei na barriga tipo o dono da verdade', 'Queimando até as cinzas na fogueira da vaidades'], ['Tão bom fingir que a vida é assim', 'Só lazer paz e amor pode crer', 'Tão bom fingir que a vida é assim', 'Só lazer, paz e amor, pode crer'], ['Um dia você vai descobrir que o esquema é só pra te roubar', 'E mesmo você sendo contra eles vão te recrutar', 'Te raspar a cabeça inteira, vão te uniformizar', 'Te dar uma arma e licença pra matar'], ['Se pudessem comprar minha confiança', 'Com um tapinha nas costas já teriam comprado', 'Se pudessem comprar minha confiança', 'Com xaveco barato já teriam comprado']]",177,94200
"[['Você me diz que sou desajeitado', 'Eu não sou ninguém', 'Me tira o sono só pra se sentir bem', 'Desajeitado, eu não sou ninguém', 'Me tira o sono só pra se sentir bem'], ['O mundo dá várias voltas', 'Tomara que um dia ele leve meu caminho a você', 'Não tenho grana não', 'Mas quando tu chegar', 'Já vou tá lá tu vai me ver'], ['Desajeitado, eu não sou ninguém', 'Me tira o sono só pra se sentir bem', 'Desajeitado, eu não sou ninguém', 'Me tira o sono só pra se sentir bem'], ['O mundo dá várias voltas', 'Tomara que um dia ele leve meu caminho a você', 'Não tenho grana não', 'Mas quando tu chegar', 'Já vou tá lá tu vai me ver'], ['Sei que um sorriso seu faria bem', 'Tu vai de limusine, eu vou de trem', 'Sei que um sorriso seu faria bem', 'Tu vai de limusine, eu vou de trem'], ['Mas se eu sou um, em um milhão', 'O que fazer então', 'Não tenho grana, tenho um grande coração', 'Não quero ver, quero botar a mão', 'Pode acreditar, tu vai comer na minha mão'], ['Sei que um sorriso seu faria bem', 'Tu vai de limusine, eu vou de trem', 'Sei que um sorriso seu faria bem', 'Tu vai de limusine, eu vou de trem'], ['O mundo dá várias voltas', 'Tomara que um dia ele leve meu caminho a você.', 'Pois com você estou em casa']]",177,117574
"[['Essa aqui foi maior viagem, eu jamais vou esquecer', 'Só família até dei ""mosh"", eu quebrei dente, eu abalei', 'Tem roupa no varal'], ['Subi o morro eu fui considerado', 'Eu não cumpri vacilação', 'Sou cantor, eu sou bondade, eu sou guerreiro, eu sou o irmão'], ['O dom que Deus me deu eu dedico a vocês', 'O dom que Deus me deu eu dedico a vocês'], ['Pra te fazer sorrir', 'Pra te fazer cantar', 'Pra te fazer viver', 'Pra te fazer sonhar', '(2x)'], ['O dom que Deus me deu eu dedico a vocês', 'O dom que Deus me deu eu dedico a vocês'], ['Essa aqui foi maior viagem, eu jamais vou esquecer', 'Só família até dei ""mosh"", eu quebrei dente, eu abalei', 'Tem roupa no varal'], ['Subi o morro eu fui muito bem tratado', 'Eu não cumpri vacilação', 'Sou cantor, eu sou bondade, eu sou guerreiro, eu sou o irmão'], ['O dom que Deus me deu eu dedico a vocês', 'O dom que Deus me deu eu dedico a vocês'], ['Pra te fazer sorrir', 'Pra te fazer cantar', 'Pra te fazer viver', 'Pra te fazer sonhar', '(2x)'], ['O dom que Deus me deu eu dedico a vocês', 'O dom que Deus me deu eu dedico a vocês'], ['Só família,', 'Charlie Brown!']]",109,188538
"[['Vaidade sua é o mundo da Lua', 'Show bizz agora é uma gangue de rua', 'Vaidade sua é o mundo da Lua', 'Show bizz agora é uma gangue de rua', 'Quando o cara é mané ela faz o que quer', 'Se liga, meu irmão, essa mulher tá te arruinando', 'O que ela aguenta sorrindo tu não aguenta nem gritando'], ['O cheiro da raposa deixou tremula a esposa do urubu malandro', 'O jogo vira eu sei o que estou falando', 'Acorda, força, força, a inteligência é minha força', 'E a vontade de vencer é mais forte em mim agora', 'É mais forte em mim agora', 'É mais forte em mim agora', 'É mais forte em mim agora'], ['É tudo F.D. p!', 'É tudo F.D. p!', 'É tudo F.D. p!', 'É tudo F.D. p!'], ['No meio disso tudo eu não te iludo e não me iludo', 'Há pouco tempo atrás eu era um pobre vagabundo', 'Andava pela rua sem nenhum trocado ia a pé pra toda lado', 'Maltrapilho e maltratado'], ['Quem vai abrir pra mim as portas da babilônia?', 'Mas quem vai abrir pra mim as portas da babilônia?'], ['Governo falido não ajuda ninguém', 'Hoje eles me fodem amanhã vão te foder também', 'Vão te foder também'], ['Vaidade sua é o mundo da Lua', 'Show bizz agora é uma gangue de rua'], ['É tudo F.D. p!', 'É tudo F.D. p!', 'É tudo F.D. p!', 'É tudo F.D. p!'], ['Tudo F.D. p!', 'Tudo F.D. p!', 'É tudo F.D. p!'], ['Filho da puta!']]",171,109666
"[['Jogar tudo pro alto me convém', 'Estar acima da razão', 'Só porque somos jovens, só porque somos jovens', 'Desesperado com o mundo eu estou também', 'Escondem tudo com sorriso na TV e não contam a ninguém', 'E não contam a ninguém'], ['Estou confuso  joguei tudo pra trás', 'Mas no fundo eu sei que eu não tentei de tudo', 'Mas que bom poder ter uma chance a mais', 'Estou confuso  joguei tudo pra trás', 'Mas no fundo eu sei que eu não tentei de tudo', 'Mas que bom poder ter uma chance a mais'], ['Tratado de forma que não deu pra entender tanta frieza', 'Disposição de sobra, eu vou vencer assim mesmo', 'Eu já nem lembro de você'], ['Então o vício', 'É o que te faz correr atrás', 'De mais que o início', 'E bem que eu te avisei', 'Aquela vez que eu te encontrei ', 'Uhh!'], ['(Taran rara tatatatatan taran)', '(Taran tatatatatara tata)'], ['A vida corre pelas ruas numa busca sem sentido', 'Enquanto o mundo vive em guerra por paz', 'Não me pergunte o que é que eu quero da vida', 'O que é que eu quero da vida eu tenho sede de mais', 'A vida flui na sua loucura e o momento é decisivo', 'Mas agora estou confuso demais', 'Não me pergunte o que é que eu quero da vida', 'O que é que eu quero da vida eu tenho sede de mais'], ['Mas deixe eu só te dizer', 'O quanto eu quero bem você', 'Deixe eu só te dizer', 'O quanto eu quero bem você'], ['Mas deixe eu só te dizer', 'O quanto eu quero bem você', 'Deixe eu só te dizer', 'O quanto eu quero bem você'], ['(Taran ra tatatatatan taran)'], ['Uhhh!', 'Uh! Uh!']]",189,390520
"[['Um belo sonho veio então, despertar minha vontade', 'Tudo vale a pena pra te reencontrar', 'Me livrei de tudo aquilo e consegui mudar', 'Tudo que foi feito em troca de uma amizade, mas', 'Felicidade é poder estar', 'Com quem você gosta em algum lugar'], ['É foda ser louco, advogado do mundo, mas', 'Como tudo deve ser?', 'É foda ser tachado de doido, vagabundo, mas', 'Como tudo deve ser?'], ['Foi quando te encontrei', 'Ouvindo o som e olhando o mar', 'Foi quando te encontrei', 'Ouvindo o som do mar rolar'], ['Eu não nasci ontem', 'Nem quando, como, por onde, mas', 'Como tudo deve ser', 'Com as balizas do nosso sistema', 'Sigo imprimindo meu sonho na história', 'Como tudo deve ser'], ['Um belo sonho veio então despertar minha vontade', 'Tudo vale a pena pra te reencontrar', 'Me livrei de tudo aquilo e consegui mudar', 'Tudo que foi feito em troca de uma amizade, mas'], ['Foi quando te encontrei', 'Ouvindo o som e olhando o mar', 'Foi quando te encontrei', 'Ouvindo o som do mar rolar'], ['Eu não preciso de promessas', 'E acho que você também', 'Eu não tento ser perfeito', 'E acho que você também'], ['Dias e noites, pensando no que fiz', 'Eu sou um vencedor', 'Eu lutei pelo o que eu quis', 'Mas quando não se pode mais mudar'], ['Tanta coisa errada', 'Vamos viver nossos sonhos', 'Temos tão pouco tempo'], ['Foi quando te encontrei', 'Ouvindo o som e olhando o mar', 'Foi quando te encontrei', 'Ouvindo o som do mar rolar'], ['Foi quando te encontrei', 'Ouvindo o som e olhando o mar', 'Foi quando te encontrei', 'Ouvindo o som do mar rolar'], ['Foi quando te encontrei', 'Ouvindo o som e olhando o mar', 'Foi quando te encontrei', 'Ouvindo o som do mar rolar', 'Ouvindo o som do mar rolar']]",283,2625410
"[['Otário, eu vou te avisar, o teu intelecto é de mosca de bar', 'Você deixou ela de lado para falar com seus amigos', 'Sobre suas coisas chatas', 'Ela deu brecha e eu me aproximei', 'Porque eu me fortaleço é na sua falha'], ['Ela estava ali sozinha querendo atenção', 'E alguém pra conversar', 'Você deixou ela de lado', 'Vai pagar pela mancada, pode acreditar'], ['Então já era', 'Eu vou fazer de um jeito que ela não vai esquecer', 'Se for já era', 'Eu vou fazer de um jeito que ela não vai esquecer'], ['Ô Otário, eu vou te avisar: Intelecto de cu é rola', 'Você falou pra ela que eu sou louco e canto mal', 'Que eu não presto', 'Que eu sou um marginal', 'Que eu não tenho educação', 'Que eu só falo palavrão', 'E pra socialite eu não tenho vocação'], ['Sei que isso tudo é verdade', 'Mas eu quero que se foda essa porra de sociedade', 'Pago minhas contas, sou limpinho', 'Não sou como você filho da puta, viadinho'], ['Então', 'Então já era', 'Eu vou fazer de um jeito que ela não vai esquecer', 'Se for já era', 'Eu vou fazer de um jeito que ela não vai esquecer'], ['Mexeu com a família agora se vira', 'Segura a sequência, essa é minha quadrilha', 'Charlie Brown, Charlie Brown, Charlie Brown', 'Você deixou ela de lado para falar com seus amigos', 'Sobre suas coisas chatas', 'Ela deu brecha e eu me aproximei', 'Porque eu me fortaleço é na sua falha'], ['Ela estava ali sozinha querendo atenção', 'E alguém pra conversar', 'Você deixou ela de lado', 'Vai pagar pela mancada, pode acreditar'], ['Então já era', 'Eu vou fazer de um jeito que ela não vai esquecer', 'Se for já era', 'Eu vou fazer de um jeito que ela não vai esquecer', 'Se não quiser ficar só cuide dela bem melhor', 'Ou vai ficar só o pó', 'Ou vai ficar só o pó'], ['Ferro na boneca, pedrada na vidraça', 'Tudo que eu tenho eu conquistei na raça', 'Eu não sou simpático a ninguém', 'Hoje eu vou de limousine, mas eu já andei de trem']]",240,1181304
"[['Só não vale correr', 'Não adianta correr'], ['Tudo que me faz querer levar a vida assim na paz'], ['Eu sei que eu já fiz muita coisa errada', 'Mas o fato de eu ser maluco não quer dizer', 'Que eu não dê valor pras coisas e nem pra você, e nem pra você'], ['Todas as poesias do mundo eu dedico a você', 'Todas as coisas que eu amo eu divido com você'], ['Eu sei que a vida é louca e é difícil acreditar,', 'Mas o mundo é das pessoas que mandam em seus sentimentos,', 'O mundo é das pessoas que sonham e o meu sonho é você,', 'O meu sonho é você, o meu sonho é você'], ['Essa eu fiz por você, essa eu fiz por você,', 'E por todos nós, todos nós, essa eu fiz foi por todos nós', 'Essa eu fiz por todos nós, essa eu fiz foi por todos nós,', 'Fiz por todos nós, essa eu fiz foi por todos nós,', 'Essa eu fiz por todos nós,', 'Essa eu fiz por todos nós'], ['Por todas as pessoas que amam a liberdade e a paz', 'Por todas as pessoas de valor pra liberdade e a paz, yeah', 'Pense em coisas boas, sonhe com a pessoa amada,', 'Pois o mundo é das pessoas que mandam em seus sentimentos,', 'O mundo é das pessoas que sonham e o meu sonho é você,', 'O meu sonho é você, o meu sonho é você', 'Essa eu fiz por você'], ['E por todos nós, todos nós, essa eu fiz por todos nós', 'Essa eu fiz foi por todos nós, essa eu fiz por todos nós,', 'Fiz por todos nós, essa eu fiz foi por todos nós', 'essa eu fiz por todos nós', 'essa eu fiz por todos nós'], ['Deixe-me furar as ondas,', 'Deixe vê-los voar', 'Deixe-me tirar minha onda,', 'Deixe vê-los voar, voar.'], ['Tudo o que me faz levar a vida na divina paz,', 'Sei bem o que é bom pra mim e o que mais me satisfaz,', 'Tudo o que me faz levar a vida na divina paz,', 'Sei bem o que é bom pra mim...'], ['Fiz por todos nós, essa eu fiz foi por todos nós,', 'Essa eu fiz por todos nós, essa eu fiz por todos nós,', 'Fiz foi por todos nós, essa eu fiz foi por todos nós', 'Essa eu fiz por todos nós, essa eu fiz por todos nós'], ['Charlie Brown...'], ['As flores são bonitas em qualquer lugar do mundo,', 'Muita gente tem forma, mas não tem conteúdo,', 'Eu não sou alienado, eu não vivo esse absurdo,', 'Eu conheco o fim da linha, eu renasci do submundo,', 'Eu mergulhei fundo, tomei de tudo pra tentar chegar ao fim', 'De um poço de um mundo sujo.']]",253,668033
"[['A violência é tão fascinante', 'E nossas vidas são tão normais', 'Você passa dia e noite e sempre', 'Vê apartamentos acesos', 'Tudo parece ser tão real', 'Mas você viu esse filme também', 'Andando nas ruas pensei que podia ouvir', 'Alguém me chamando, dizendo meu nome'], ['Já estou cheio de me sentir vazio', 'Meu corpo é quente e estou sentindo frio', 'Todo mundo sabe, ninguém quer mais saber', 'Afinal, amar ao proximo é tão demodê (yeah)', 'Ô ô ô ô...', 'Essa justiça desafinada é tão humana e tão errada', 'Nós assistimos televisão também, qual é a diferença?', 'Não estatize meus sentimentos, pra seu governo', 'O meu estado é independente', 'Ô ô ô ô...', 'Já estou cheio de me sentir vazio', 'Meu corpo é quente e estou sentindo frio', 'Todo mundo sabe, ninguém quer mais saber', 'Afinal, amar ao proximo é tão demodê!...', 'Ô ô ô ô...']]",172,50507
